Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775523395,500,,Aggregated,317.200000,0.000000,25,43,63,85,180,400,2200,2300,3400,3400,3400,14653,3087,25,137.7563796559682,2.0661000162363052,3434.9775000009686,1355.3739848495188
1775523396,500,,Aggregated,347.100000,0.000000,24,42,60,82,170,360,2100,2300,3400,3400,3400,15054,3087,24,134.5270565563088,2.0661000162363052,3434.9775000009686,1357.5187989903015
1775523397,500,,Aggregated,381.300000,0.000000,23,40,58,79,170,340,2100,2300,3400,3400,3400,15445,3087,23,131.54358943333676,2.0661000162363052,3434.9775000009686,1364.6730980899968
1775523398,500,,Aggregated,370.600000,0.000000,23,39,56,77,160,330,2100,2300,3400,3400,3400,15830,3087,23,128.75757710661446,2.0661000162363052,3434.9775000009686,1374.2978521794062
1775523399,500,,Aggregated,374.600000,0.000000,22,38,55,74,160,310,2100,2300,3400,3400,3400,16224,3087,22,125.96912581349352,2.0661000162363052,3434.9775000009686,1371.847016765286
1775523400,500,,Aggregated,373.000000,0.000000,22,37,55,73,150,300,2100,2300,3400,3400,3400,16616,3087,22,123.67298988313827,2.0661000162363052,3434.9775000009686,1380.795077034184
1775523401,500,,Aggregated,378.200000,0.000000,22,37,54,71,150,290,2100,2300,3400,3400,3400,16976,3087,22,121.67040586707007,2.0661000162363052,3434.9775000009686,1389.4293708765315
1775523402,500,,Aggregated,374.600000,0.000000,23,39,58,80,180,280,2100,2300,3400,3400,3400,17342,3087,23,123.28939946943794,2.0661000162363052,3434.9775000009686,1397.2726905777881
1775523403,500,,Aggregated,373.800000,0.000000,24,41,61,84,190,280,2100,2300,3400,3400,3400,17738,3087,24,123.06084461035647,2.0661000162363052,3434.9775000009686,1402.725560942609
1775523404,500,,Aggregated,373.900000,0.000000,24,41,61,82,180,270,2100,2300,3300,3400,3400,18138,3087,24,121.25024627844485,2.0661000162363052,3434.9775000009686,1406.5439960304334
1775523405,500,,Aggregated,372.700000,0.000000,24,40,59,80,180,270,2000,2300,3300,3400,3400,18514,3087,24,119.16259954081485,2.0661000162363052,3434.9775000009686,1410.8832235065356
1775523406,500,,Aggregated,376.100000,0.000000,24,42,62,85,180,260,2000,2300,3300,3400,3400,18864,3087,24,118.72381388879876,2.0661000162363052,3434.9775000009686,1417.4780534351146
1775523407,500,,Aggregated,375.800000,0.000000,25,44,68,93,190,260,2000,2300,3300,3400,3400,19269,3087,25,119.95896891373499,2.0661000162363052,3434.9775000009686,1423.4307955783902
1775523408,500,,Aggregated,370.000000,0.000000,26,47,71,95,190,260,2000,2300,3300,3400,3400,19659,3087,26,119.69755056711259,2.0661000162363052,3434.9775000009686,1433.996286688031
1775523409,500,,Aggregated,365.800000,0.000000,26,47,69,94,190,260,2000,2300,3100,3400,3400,20044,3087,26,118.05042107360767,2.0661000162363052,3434.9775000009686,1434.7563360606666
1775523410,500,,Aggregated,358.800000,0.000000,26,46,67,92,180,260,2000,2300,3100,3400,3400,20438,3087,26,116.24749992656298,2.0661000162363052,3434.9775000009686,1439.7282512966044
1775523412,500,,Aggregated,359.200000,0.000000,27,47,70,95,180,250,2000,2300,3100,3400,3400,20780,3087,27,115.87119126074539,2.0661000162363052,3434.9775000009686,1442.1710779595765
1775523413,500,,Aggregated,358.500000,0.000000,27,49,73,97,180,250,2000,2200,3100,3400,3400,21135,3087,27,115.4305719564017,2.0661000162363052,3434.9775000009686,1449.2576295244855
1775523414,500,,Aggregated,358.500000,0.000000,28,50,76,100,180,260,2000,2200,3100,3400,3400,21353,3087,28,116.1308131456332,2.0661000162363052,3434.9775000009686,1450.8944878939728
